step,mass_sol,mass_kg,r_schwarzschild_km,r_core_km,r_core_planck,rho_coherence,time_dilation,coherence_strength,coherence_challenge,maintains_coherence,status,is_finite
95,124.21909954526174,2.4700595287276663e+32,366.86115869190735,4.032205688703896e-37,24.94783118198487,8.994784785805737e+131,9.098274914884872e+38,0.9110554639086927,2.094188376753507,True,COHERENT CORE,True
96,130.68702297433478,2.5986722457377546e+32,385.9631316751818,4.101008858426335e-37,25.373526197452346,8.994784785805732e+131,9.41141911659479e+38,0.9092695352740904,2.11623246492986,True,COHERENT CORE,True
97,137.49172258064203,2.7339816559992925e+32,406.059719005624,4.170986044686944e-37,25.80648502053787,8.994784785805735e+131,9.735341107718837e+38,0.9074875392202176,2.1382765531062127,True,COHERENT CORE,True
98,144.6507338521647,2.8763364474301396e+32,427.2027089304726,4.242157280208602e-37,26.246831596552532,8.994784785805732e+131,1.0070411837947356e+39,0.9057094670876067,2.1603206412825653,True,COHERENT CORE,True
99,152.1825053264387,3.0261034636646358e+32,449.44658624217385,4.3145429395406985e-37,26.694691985736767,8.994784785805735e+131,1.0417015024307983e+39,0.9039353102358579,2.182364729458918,True,COHERENT CORE,True
100,160.10644613183177,3.1836686493976352e+32,472.848672683908,4.388163744891871e-37,27.150194399348315,8.99478478580573e+131,1.077554759059155e+39,0.9021650600435978,2.2044088176352705,True,COHERENT CORE,True
101,168.4429760042317,3.349438044951346e+32,497.46927466584367,4.463040772062251e-37,27.613469236365866,8.994784785805735e+131,1.1146420121902147e+39,0.9003987079084366,2.2264529058116236,True,COHERENT CORE,True
102,177.21357790803603,3.523838832627924e+32,523.3718386727796,4.539195456476939e-37,28.084649120819044,8.994784785805737e+131,1.1530057334851816e+39,0.8986362452469271,2.248496993987976,True,COHERENT CORE,True
103,186.44085339704873,3.707320437544295e+32,550.6231147636614,4.6166495993224365e-37,28.563868939755398,8.994784785805732e+131,1.1926898563938526e+39,0.8968776634945227,2.270541082164329,True,COHERENT CORE,True
104,196.14858085794313,3.900355685785942e+32,579.2933285842929,4.6954253737877764e-37,29.05126588185513,8.994784785805734e+131,1.2337398264664141e+39,0.8951229541055357,2.2925851703406814,True,COHERENT CORE,True
105,206.36177678638586,4.103442022864247e+32,609.4563623365281,4.77554533141216e-37,29.546979476704852,8.994784785805737e+131,1.2762026533968797e+39,0.8933721085530958,2.314629258517034,True,COHERENT CORE,True
